"SYSTEM", "1", "SYSTEM", "System Start", " "
"main", "117", "seminar_test/Elevator_Scheduler.java:87", "Method Exit", " returner=seminar_test.Person:3#seminar_test.Person:3, value=<void>"
"main", "118", "seminar_test/Elevator_Scheduler.java:26", "Method Returned", " "
"main", "119", "seminar_test/Elevator_Scheduler.java:26", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=26"
"main", "120", "seminar_test/Elevator_Scheduler.java:26", "Variable Write", " context=seminar_test.Elevator_Scheduler#main:1, p3=seminar_test.Person:3"
"main", "121", "seminar_test/Elevator_Scheduler.java:27", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=27"
"main", "122", "seminar_test/Elevator_Scheduler.java:27", "New Object", " object=seminar_test.Person:4"
"main", "123", "seminar_test/Elevator_Scheduler.java:27", "Method Call", " caller=seminar_test.Elevator_Scheduler#main:1, target=seminar_test.Person:4#seminar_test.Person:4"
"main", "124", "seminar_test/Elevator_Scheduler.java:84", "Method Entered", " "
"main", "125", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:4#seminar_test.Person:4, name=""D"""
"main", "126", "seminar_test/Elevator_Scheduler.java:84", "Variable Write", " context=seminar_test.Person:4#seminar_test.Person:4, S=seminar_test.Scheduler:1"
"main", "127", "seminar_test/Elevator_Scheduler.java:84", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=84"
"main", "128", "seminar_test/Elevator_Scheduler.java:82", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=82"
"main", "129", "seminar_test/Elevator_Scheduler.java:82", "Field Write", " context=seminar_test.Person:4, from=0"
"main", "130", "seminar_test/Elevator_Scheduler.java:83", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=83"
"main", "131", "seminar_test/Elevator_Scheduler.java:83", "Field Write", " context=seminar_test.Person:4, to=0"
"main", "132", "seminar_test/Elevator_Scheduler.java:85", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=85"
"main", "133", "seminar_test/Elevator_Scheduler.java:85", "Field Write", " context=seminar_test.Person:4, name=""D"""
"main", "134", "seminar_test/Elevator_Scheduler.java:86", "Line Step", " file=seminar_test/Elevator_Scheduler.java, line=86"
